[2026-06-11T12:31:50.106Z] GET https://github.com/cloin/semaphore-mcp → pending (?ms, ?B)
[2026-06-11T12:31:51.011Z] GET https://github.githubassets.com/assets/github-elements-eb549acb4793d65e.js → pending (?ms, ?B)
[2026-06-11T12:31:51.011Z] GET https://github.githubassets.com/assets/element-registry-3fc9032c5f58898c.js → pending (?ms, ?B)
[2026-06-11T12:31:51.011Z] GET https://github.githubassets.com/assets/react-core-d4d939aa5dd43e31.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/react-lib-84a0f3ff745a6c51.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/63143-9834767acbea50f3.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/79039-2fc69f86776b329f.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/88475-2de66b4993b12d53.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/2887-998ebe08466c5cd8.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/26533-dfc05901dc9c505a.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/46477-f95fdfc496e9b0a7.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/70507-70c508b0411e7274.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/53320-1fcb121c6acf8ba3.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/46287-129b636a11ebc339.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/23548-7829c2eaceb9fcc8.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/89627-ba5b3cb882e1ebde.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/55682-153e8edc1a4a674f.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/49029-49f27df035f2192a.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/99328-99d3191a85988507.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/behaviors-9def9935c24d97fb.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/react-core.3f0051f556ed44a5.module.css → 200 (141ms, 446B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/61272-70a9b1d064908221.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/notifications-global-6ad97c0f0c98db4a.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/57639-7789b6bcbd790e92.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/81276-3add6fba73352893.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/19930-da7db0f221ab8efb.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/codespaces-b06d9fcd8ae0e8b7.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/778-72d963ac01ec30d5.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/70206-5d502024eba295bc.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/repositories-25c6756dd2d481b7.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/39890-ea637e2d6e07bcb0.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/code-menu-1ea7979cb3d4fdc4.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/primer-react-e181558b055eb637.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/octicons-react-ad81b26f4cfaa5de.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/97458-c4c25fd291e2e862.js → pending (?ms, ?B)
[2026-06-11T12:31:51.012Z] GET https://github.githubassets.com/assets/68751-8ae833d61fa1dcf8.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/24949-e0e9bd62831b246c.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/437-f369302b5a30316b.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/49550-1671cd5becc0c104.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/7463-c4bd1db840718ba5.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/24564-2484482317ff1b56.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/40294-01944a19788e6cbd.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/58246-a3325c25ca0beb63.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/55539-8483381eda4cc7fd.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/49561-adb5134a20bbe7a3.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/54933-7837d8b8e8c4716d.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/68735-e704d1c0804bc761.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/83912-31088ff3edafcfb4.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/68469-ee9ad28a0625875c.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/40828-54a0f2121e8a62e3.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/50584-98b96f82fee52a18.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/63000-f28b3dd4f4358c75.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/30914-89282cb0b6216fc0.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/33684-f2589824f0f2c48d.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/1334-7b6b8647acc20d4b.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/66231-2901cdfa68c9ae0a.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/79407-43f163f30d043762.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/2204-4d20a38418ced003.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/50288-1f243384a234d04c.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/68212-3be02e02c01a1fb8.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/52957-fb10c5cd813262bf.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/75577-5bd941a72ea2a570.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/95035-b8f9f08adf8973a4.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/76987-4014b283df4fd8a1.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/53275-46dcb570e3928c12.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/19824-7d0440a03053cf03.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/5213-41dc3bdf0dd6d644.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/63806-73906026fb21765e.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/34583-f068d17b32e94eb8.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/50110-be463322e65a1348.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/98451-92608137952c2478.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/26497-9c4052c7bda24250.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/61279-b7af09d886854735.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/3861-0db45ee3171b386d.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/code-view-df4978ebf4c1d78d.js → pending (?ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/primer-react-css.01915637131ebcbd.module.css → 200 (143ms, ?B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/95035.ca61f144995ff98b.module.css → 200 (99ms, 17274B)
[2026-06-11T12:31:51.013Z] GET https://github.githubassets.com/assets/63806.eb07de14966f791b.module.css → 200 (119ms, 13935B)
[2026-06-11T12:31:51.014Z] GET https://github.githubassets.com/assets/code-view.d15ec27816e3ba56.module.css → 200 (118ms, 97404B)
[2026-06-11T12:31:51.014Z] GET https://github.githubassets.com/assets/64039-d8508104b37e1477.js → pending (?ms, ?B)
[2026-06-11T12:31:51.014Z] GET https://github.githubassets.com/assets/73635-5d9d3ef9dda0444d.js → pending (?ms, ?B)
[2026-06-11T12:31:51.014Z] GET https://github.githubassets.com/assets/notifications-subscriptions-menu-575b655e7da8aaad.js → pending (?ms, ?B)
[2026-06-11T12:31:51.014Z] GET https://github.githubassets.com/assets/notifications-subscriptions-menu.0c65bafd7b920855.module.css → 200 (118ms, 2758B)
[2026-06-11T12:31:51.051Z] GET https://github.githubassets.com/assets/keyboard-shortcuts-dialog.e70e346da03585f4.module.css → 200 (61ms, 331B)
[2026-06-11T12:31:51.051Z] GET https://github.githubassets.com/assets/70666-351eb383f1ef4a9d.js → pending (?ms, ?B)
[2026-06-11T12:31:51.051Z] GET https://github.githubassets.com/assets/43406-77bbc0d657b16037.js → pending (?ms, ?B)
[2026-06-11T12:31:51.051Z] GET https://github.githubassets.com/assets/sessions-6c6afdbaaa8bf3da.js → pending (?ms, ?B)
[2026-06-11T12:31:51.051Z] GET https://github.githubassets.com/assets/marketing-navigation.a66db52916de80a8.module.css → 200 (61ms, 10727B)
[2026-06-11T12:31:51.097Z] GET https://github.com/cloin/semaphore-mcp/raw/main/images/semaphore-mcp-rawoutput.gif → pending (?ms, ?B)
[2026-06-11T12:31:51.325Z] GET https://github.githubassets.com/assets/chunk-51591-c57a938d95d8d8e6.js → 200 (135ms, 18887B)
[2026-06-11T12:31:51.325Z] GET https://github.githubassets.com/assets/chunk-34877-29b1924047abbc51.js → 200 (135ms, 830B)
[2026-06-11T12:31:51.326Z] GET https://github.githubassets.com/assets/chunk-36423-23e0041b711aa4ff.js → 200 (134ms, 11317B)
[2026-06-11T12:31:51.326Z] GET https://github.githubassets.com/assets/44391-4290878095208244.js → 200 (134ms, 10859B)
[2026-06-11T12:31:51.326Z] GET https://github.githubassets.com/assets/2694-2ddb488b02ba1b01.js → 200 (134ms, 23958B)
[2026-06-11T12:31:51.326Z] GET https://github.githubassets.com/assets/chunk-43205-43b0d6f10ff3162e.js → 200 (134ms, 8586B)
[2026-06-11T12:31:51.326Z] GET https://github.githubassets.com/assets/chunk-87260-de02d7c5f60d98f8.js → 200 (134ms, 58511B)
[2026-06-11T12:31:51.326Z] GET https://github.githubassets.com/assets/17752-4cebf91a705c443b.js → 200 (135ms, 32285B)
[2026-06-11T12:31:51.326Z] GET https://github.githubassets.com/assets/chunk-52728-56b1927fbd5226c3.js → 200 (135ms, 362B)
[2026-06-11T12:31:51.326Z] GET https://github.githubassets.com/assets/chunk-73937-8881035a44f0c991.js → 200 (135ms, 679B)
[2026-06-11T12:31:51.326Z] GET https://github.githubassets.com/assets/chunk-66575-f263bea300de6dff.js → 200 (135ms, 648B)
[2026-06-11T12:31:51.326Z] GET https://github.githubassets.com/assets/chunk-76753-9212c86c7dcbe314.js → 200 (135ms, 11296B)
[2026-06-11T12:31:51.326Z] GET https://github.githubassets.com/assets/chunk-70776-7f715c18f195eab1.js → 200 (135ms, 572B)
[2026-06-11T12:31:51.326Z] GET https://github.githubassets.com/assets/26802-1d57ceee52cd3b0d.js → 200 (135ms, 15255B)
[2026-06-11T12:31:51.326Z] GET https://github.githubassets.com/assets/38963.8add87f5d74d588c.module.css → 200 (37ms, 311B)
[2026-06-11T12:31:51.326Z] GET https://github.githubassets.com/assets/71236-4dec2ee0692c7e78.js → 200 (135ms, 11428B)
[2026-06-11T12:31:51.326Z] GET https://github.githubassets.com/assets/19527-5502ecdcb566a408.js → 200 (135ms, 101272B)
[2026-06-11T12:31:51.326Z] GET https://github.githubassets.com/assets/90019-06413776d4b3f404.js → 200 (135ms, 15564B)
[2026-06-11T12:31:51.326Z] GET https://github.githubassets.com/assets/70168.d76ff1ffed0417d0.module.css → 200 (37ms, 10712B)
[2026-06-11T12:31:51.363Z] GET https://github.githubassets.com/assets/chunk-63160-6912b1996e3bf4c8.js → 200 (109ms, 59214B)
[2026-06-11T12:31:51.371Z] GET https://github.com/cloin/semaphore-mcp/hovercards/citation/sidebar_partial?tree_name=main → 204 (297ms, ?B)
[2026-06-11T12:31:51.371Z] GET https://github.com/cloin/semaphore-mcp/packages_list?current_repository=semaphore-mcp → 200 (480ms, 1508B)
[2026-06-11T12:31:51.371Z] GET https://github.com/cloin/semaphore-mcp/used_by_list → pending (?ms, ?B)
[2026-06-11T12:31:51.371Z] GET https://github.com/cloin/semaphore-mcp/contributors_list?current_repository=semaphore-mcp&deferred=true → 200 (297ms, 3483B)
[2026-06-11T12:31:51.428Z] GET https://github.com/cloin/semaphore-mcp/latest-commit → 200 (384ms, 1777B)
[2026-06-11T12:31:51.428Z] GET https://github.com/cloin/semaphore-mcp/recently-touched-branches → 200 (336ms, 58B)
[2026-06-11T12:31:51.428Z] GET https://github.com/cloin/semaphore-mcp/branch-and-tag-count → 200 (317ms, 24B)
[2026-06-11T12:31:51.451Z] GET https://github.githubassets.com/assets/chunk-46661-da78757dc8d373a0.js → 200 (29ms, 10217B)
[2026-06-11T12:31:51.451Z] GET https://github.githubassets.com/assets/chunk-63841-7935b97bdb2d57e4.js → 200 (28ms, 13881B)
[2026-06-11T12:31:51.451Z] GET https://github.githubassets.com/assets/chunk-94851-a5a5711a818df369.js → 200 (29ms, 10760B)
[2026-06-11T12:31:51.494Z] POST https://collector.github.com/github/collect → pending (?ms, ?B)
[2026-06-11T12:31:51.494Z] GET https://github.com/cloin/semaphore-mcp/tree-commit-info → 200 (348ms, 7716B)
[2026-06-11T12:31:51.505Z] GET https://github.com/cloin/semaphore-mcp/refs?type=branch → 200 (319ms, 158B)
[2026-06-11T12:31:51.505Z] GET https://github.com/cloin/semaphore-mcp/overview-files/main → 200 (477ms, 65764B)
[2026-06-11T12:31:51.515Z] GET https://github.githubassets.com/assets/chunk-85825-311c11e4756fbf7d.js → 200 (27ms, 43835B)
[2026-06-11T12:31:51.515Z] GET https://github.githubassets.com/assets/appearance-settings.c0598fede7d39156.module.css → 200 (27ms, 5911B)
[2026-06-11T12:31:51.539Z] GET https://github.githubassets.com/assets/81550-8aac6225e3183c84.js → 200 (39ms, 14922B)
[2026-06-11T12:31:51.539Z] GET https://github.githubassets.com/assets/71849.4cfb21dac2680ba9.module.css → 200 (23ms, 5897B)
[2026-06-11T12:31:51.539Z] GET https://github.githubassets.com/assets/chunk-lazy-react-partial-appearance-settings-42da0723caab442a.js → 200 (39ms, 6684B)
[2026-06-11T12:31:51.589Z] POST https://collector.github.com/github/collect → pending (?ms, ?B)
[2026-06-11T12:31:51.613Z] POST https://collector.github.com/github/collect → pending (?ms, ?B)
[2026-06-11T12:31:51.613Z] POST https://collector.github.com/github/collect → pending (?ms, ?B)
[2026-06-11T12:31:51.614Z] GET https://github.githubassets.com/assets/96037.d5ce918d22a1bef8.module.css → 200 (29ms, 1374B)
[2026-06-11T12:31:51.614Z] GET https://github.githubassets.com/assets/chunk-96037-3b88527062404089.js → 200 (29ms, 3711B)
[2026-06-11T12:31:51.669Z] GET https://avatars.githubusercontent.com/u/8515817?s=64&v=4 → 200 (93ms, 1476B)
[2026-06-11T12:31:51.669Z] GET https://avatars.githubusercontent.com/in/15368?s=64&v=4 → 200 (91ms, 1953B)
[2026-06-11T12:31:51.669Z] GET https://avatars.githubusercontent.com/u/81847?s=64&v=4 → 200 (92ms, 2980B)
[2026-06-11T12:31:51.669Z] GET https://avatars.githubusercontent.com/u/32110043?s=64&v=4 → 200 (92ms, 1492B)
[2026-06-11T12:31:51.819Z] GET https://avatars.githubusercontent.com/u/8515817?v=4&size=40 → 200 (25ms, 1108B)
[2026-06-11T12:31:51.843Z] POST https://collector.github.com/github/collect → pending (?ms, ?B)
[2026-06-11T12:31:51.845Z] POST https://collector.github.com/github/collect → pending (?ms, ?B)
[2026-06-11T12:31:51.851Z] POST https://collector.github.com/github/collect → pending (?ms, ?B)
[2026-06-11T12:31:51.899Z] GET https://raw.githubusercontent.com/cloin/semaphore-mcp/main/images/semaphore-mcp-rawoutput.gif → pending (?ms, ?B)
[2026-06-11T12:31:52.407Z] POST https://collector.github.com/github/collect → 204 (295ms, ?B)
[2026-06-11T12:31:52.419Z] POST https://collector.github.com/github/collect → 204 (282ms, ?B)
[2026-06-11T12:31:52.455Z] POST https://api.github.com/_private/browser/stats → 200 (369ms, ?B)
[2026-06-11T12:31:52.455Z] POST https://collector.github.com/github/collect → 204 (170ms, ?B)
[2026-06-11T12:31:57.449Z] POST https://collector.github.com/github/collect → 204 (477ms, ?B)
